date,open,close,,buy_mo,price_change_mo,percent_change_mo,overall_ret_buy_mo,buy_mc,price_change_mc,percent_change_mc,overall_ret_buy_mc,buy_monthly,,buy_quarterly,buy_and_hold,,,buy_and_hold,,Invesment Amount,# of Shares
2013-04-08,155.27,156.21,,"$10,060.54",$0.94,0.6054%,51%,"$10,000.00",n/a,n/a,73%,,,,"$10,000.00",,,"$26,353.45",163.53%,"$10,000.00",64.40394152
2013-04-09,156.5,156.75,,"$10,076.61",$0.25,0.1597%,,"$10,018.56",$0.29,0.1856%,,,,,"$10,079.22",,,,,,
2013-04-10,157.17,158.67,,"$10,172.78",$1.50,0.9544%,,"$10,045.41",$0.42,0.2679%,,,,,"$10,122.37",,,,,,
2013-04-11,158.7,159.19,,"$10,204.19",$0.49,0.3088%,,"$10,047.31",$0.03,0.0189%,,,,,"$10,220.91",,,,,,
2013-04-12,158.68,158.8,,"$10,211.91",$0.12,0.0756%,,"$10,015.12",-$0.51,-0.3204%,,,,,"$10,219.62",,,,,,
2013-04-15,158,155.118,,"$10,025.64",-$2.88,-1.8241%,,"$9,964.67",-$0.80,-0.5038%,,,,,"$10,175.82",,,,,,
2013-04-16,156.29,157.41,,"$10,097.48",$1.12,0.7166%,,"$10,039.95",$1.17,0.7556%,,,,,"$10,065.69",,,,,,
2013-04-17,156.29,155.11,,"$10,021.24",-$1.18,-0.7550%,,"$9,968.52",-$1.12,-0.7115%,,,,,"$10,065.69",,,,,,
2013-04-18,155.37,154.14,,"$9,941.91",-$1.23,-0.7917%,,"$9,985.23",$0.26,0.1676%,,,,,"$10,006.44",,,,,,
2013-04-19,154.5,155.48,,"$10,004.97",$0.98,0.6343%,,"$10,008.55",$0.36,0.2336%,,,,,"$9,950.41",,,,,,
2013-04-22,155.78,156.17,,"$10,030.02",$0.39,0.2504%,,"$10,027.86",$0.30,0.1930%,,,,,"$10,032.85",,,,,,
2013-04-23,156.95,157.78,,"$10,083.06",$0.83,0.5288%,,"$10,077.94",$0.78,0.4995%,,,,,"$10,108.20",,,,,,
2013-04-24,157.83,157.88,,"$10,086.26",$0.05,0.0317%,,"$10,081.14",$0.05,0.0317%,,,,,"$10,164.87",,,,,,
2013-04-25,158.34,158.52,,"$10,097.72",$0.18,0.1137%,,"$10,110.51",$0.46,0.2914%,,,,,"$10,197.72",,,,,,
2013-04-26,158.33,158.24,,"$10,091.98",-$0.09,-0.0568%,,"$10,098.39",-$0.19,-0.1199%,,,,,"$10,197.08",,,,,,
2013-04-29,158.67,159.3,,"$10,132.05",$0.63,0.3971%,,"$10,125.83",$0.43,0.2717%,,,,,"$10,218.97",,,,,,
2013-04-30,159.27,159.68,,"$10,158.14",$0.41,0.2574%,,"$10,123.93",-$0.03,-0.0188%,,,,,"$10,257.62",,,,,,
2013-05-01,159.33,158.28,,"$10,091.19",-$1.05,-0.6590%,,"$10,101.74",-$0.35,-0.2192%,,"$10,000.00",,,"$10,261.48",,,,,,
2013-05-02,158.68,159.75,,"$10,159.24",$1.07,0.6743%,,"$10,127.26",$0.40,0.2527%,,,,,"$10,219.62",,,,,,
2013-05-03,161.14,161.368,,"$10,173.61",$0.23,0.1415%,,"$10,215.38",$1.39,0.8701%,,,,,"$10,378.05",,,,,,
2013-05-06,161.49,161.78,,"$10,191.88",$0.29,0.1796%,,"$10,223.11",$0.12,0.0756%,,,,,"$10,400.59",,,,,,
2013-05-07,162.13,162.5999,,"$10,221.42",$0.47,0.2898%,,"$10,245.22",$0.35,0.2163%,,,,,"$10,441.81",,,,,,
